1;X-90;129360;2353
2;Cobalt;172539;482
3;458 Italia;174108;1280
4;E-Class;35575;2772
5;Caprice Classic;26199;1790
6;E-Series;189124;1138
7;Cutlass Cruiser;147059;125
8;C-Class;144514;2961
9;Expedition;90224;2854
10;Touareg;63664;303
11;Impala;19970;418
12;Ram 2500;183956;671
13;Escape;156766;35
14;S-Class;46735;1993
15;Xterra;80482;82
16;6000;140379;1091
17;W201;63281;514
18;Crown Victoria;77932;969
19;Firefly;112414;1364
20;Ram Van 2500;137452;1822
21;ES;97597;2820
22;Blazer;185383;708
23;Esprit;64414;1879
24;S40;157783;623
25;612 Scaglietti;52729;2220
26;X5 M;151434;89
27;1500;59654;414
28;SC;30262;2184
29;Bonneville;161991;1137
30;LS;75034;2229
31;Rendezvous;113527;2162
32;S-Series;152288;1935
33;Mazda5;46650;1152
34;F150;63885;1603
35;XL-7;74211;2959
36;LHS;65493;1
37;X5 M;33692;236
38;300E;72199;30
39;Prelude;38808;1222
40;2500;198494;469
41;Civic;18106;1868
42;S-Class;69576;949
43;Cube;96815;10
44;CL;180008;2033
45;E150;114235;1656
46;911;196860;2569
47;9-7X;20064;1765
48;Highlander;144970;180
49;Thunderbird;22924;2544
50;Ram Van 3500;105679;199
51;Compass;132866;1342
52;Frontier;53120;712
53;Flex;78142;238
54;Sonoma;120689;1841
55;Vibe;188854;720
56;MPV;173164;340
57;Diamante;57627;2978
58;Quest;50267;2747
59;Civic;174070;525
60;Jetta;197127;1224
61;Durango;13734;2145
62;Tiburon;63593;2473
63;Escort;19847;2586
64;Toronado;46778;1140
65;Aurora;159881;2501
66;V50;158726;1987
67;500E;102025;1720
68;Topaz;125997;1943
69;Vigor;155322;1835
70;3500;142255;2895
71;944;41442;244
72;300M;189916;388
73;MX-3;82501;1813
74;Expedition;93042;1438
75;E-350 Super Duty Van;152388;2267
76;3 Series;124634;2927
77;Sportage;25737;1052
78;Challenger;145173;744
79;Chariot;91315;1478
80;Cherokee;46605;1690
81;PT Cruiser;131723;692
82;300TE;22683;1909
83;7 Series;152153;2563
84;Focus;131765;978
85;Fiero;157591;11
86;Navigator L;137607;2742
87;Crown Victoria;172164;2851
88;NSX;183578;2550
89;Contour;142837;811
90;Fiesta;161396;254
91;Sierra;181130;1770
92;Dakota;42570;1125
93;SL-Class;86540;1064
94;9-3;169747;1403
95;Continental Flying Spur;97053;512
96;E150;140519;2669
97;Galaxie;146630;2069
98;Cabriolet;41330;902
99;Lumina;71985;1968
100;ZX2;146668;1265
101;Suburban 2500;41249;1791
102;Cobalt;125050;1872
103;S5;110275;2626
104;J;57673;1581
105;LUV;197759;2721
106;Yukon XL 1500;47939;2142
107;Tundra;65472;1701
108;Edge;159250;1326
109;Accent;178194;2719
110;Escort;123606;2078
111;Accord;134298;1440
112;Navigator;194836;1711
113;5000CS Quattro;45195;1520
114;H3;62108;2533
115;GTO;51550;2216
116;Silverado 3500;81801;842
117;Rio;125061;2298
118;Alcyone SVX;65950;1811
119;Savana 1500;68257;700
120;Tahoe;197006;348
121;Mystique;132506;1222
122;Equus;19980;513
123;C-Class;74327;781
124;Safari;81382;2914
125;Express;118727;2845
126;Mighty Max;117246;435
127;Matrix;87414;846
128;Silverado 3500;22362;697
129;SC;103397;178
130;Outback;45150;2391
131;XL-7;76254;2487
132;Pajero;180731;1561
133;Millenia;83660;383
134;928;176262;1116
135;430 Scuderia;49933;344
136;62;144787;1119
137;TL;83566;2488
138;XC90;168971;929
139;G;108595;2878
140;Savana 2500;28762;2095
141;Thunderbird;126512;2225
142;Highlander;115093;915
143;Carrera GT;165945;215
144;Sierra 3500;91833;2420
145;QX;63551;1325
146;Civic;184128;738
147;Ram 1500;15920;1257
148;Journey;88589;444
149;Rodeo;198630;536
150;RAV4;59154;2064
151;Crown Victoria;94913;2703
152;Spirit;69445;1012
153;900;29427;2503
154;Jetta;134299;1576
155;Pajero;181008;1231
156;Econoline E250;172170;137
157;Econoline E250;179294;1983
158;Sundance;102025;633
159;A8;183038;1165
160;Defender;124525;1472
161;Topaz;57793;1077
162;VS Commodore;35455;1204
163;SX4;166380;975
164;Montero;176070;78
165;Touareg 2;114743;1363
166;MX-5;198146;459
167;Jetta;24015;2065
168;Oasis;52295;1710
169;Stratus;70562;2471
170;Camry;44719;2951
171;Accord;112253;689
172;B-Series Plus;66390;2818
173;Galant;184655;1904
174;Insight;108451;630
175;Topaz;123141;593
176;Firebird;184747;2921
177;LeMans;110927;1250
178;F150;58719;1137
179;Breeze;54737;2404
180;Sidekick;50580;633
181;M-Class;161180;527
182;S-Class;95947;1449
183;Crown Victoria;117122;517
184;Town Car;101004;1547
185;Highlander;49541;1615
186;Scirocco;162936;2952
187;Ciera;122716;2548
188;Q5;28092;110
189;Forenza;171372;1438
190;Century;65659;2287
191;A4;148459;1793
192;Paseo;91094;219
193;Tribute;72464;2826
194;2500;29119;1629
195;SRX;175825;92
196;Corvair;175429;2410
197;MX-6;97701;127
198;Cabriolet;63214;2754
199;Suburban 2500;122074;1509
200;Corvette;49003;1807
201;Econoline E150;136153;2736
202;Summit;183826;1030
203;Fortwo;139989;19
204;Firefly;132901;1389
205;GTI;134479;933
206;S5;62117;1875
207;Rendezvous;182557;1732
208;M;172198;47
209;Pilot;174807;2582
210;M3;189191;1775
211;DeVille;122444;2329
212;Mariner;31883;1671
213;Express 1500;77751;1652
214;Laser;174419;271
215;TL;36612;2660
216;Tundra;183582;690
217;Beretta;189531;575
218;Camaro;179410;1509
219;300SD;149610;2147
220;911;132611;630
221;911;12729;2053
222;Prelude;139895;1017
223;Escort;118703;558
224;Liberty;98355;132
225;Exige;55466;1535
226;Fit;126755;1452
227;Celica;156344;2180
228;Veloster;136080;1027
229;GT;180028;457
230;Continental Mark VII;68896;44
231;RS 4;68908;2337
232;S2000;74427;887
233;xD;84011;640
234;300CE;96647;1496
235;Econoline E150;78592;2565
236;Sunbird;23179;769
237;Accent;54638;2138
238;Supra;50228;523
239;Envoy XUV;62265;2975
240;Savana 1500;80276;1379
241;Esprit;159551;607
242;Ram 1500;194867;1573
243;CR-V;188143;1146
244;626;76470;425
245;RX Hybrid;91743;854
246;Sebring;128375;2956
247;Land Cruiser;144589;2705
248;Montero;101594;1473
249;Town & Country;97074;204
250;rio;23067;2821
251;TT;52564;702
252;Cougar;19684;147
253;Eldorado;37475;2919
254;Aveo;124370;909
255;Galant;96556;1611
256;CLS-Class;95777;2481
257;LS;72996;2250
258;M-Class;131532;2233
259;Pathfinder;30476;751
260;200SX;47365;758
261;Century;168295;1777
262;600;159330;1160
263;Lumina APV;102389;1283
264;Z3;52838;1543
265;E-Series;121183;1903
266;XK Series;88544;2220
267;SL-Class;112669;2802
268;Tempo;31749;1337
269;9-2X;70744;2534
270;Forester;155410;2265
271;F250;129191;1527
272;Mountaineer;62041;20
273;2500 Club Coupe;167923;2349
274;TundraMax;21754;2655
275;CL;102472;2804
276;A5;99930;1908
277;Cougar;162959;1480
278;Sportage;53192;620
279;Vitara;100032;1870
280;Enclave;144472;354
281;Sable;154415;1601
282;2500 Club Coupe;89400;236
283;Range Rover;101284;492
284;98;90457;1597
285;4000s;165880;2281
286;Cutlass Cruiser;116134;2523
287;Expedition;97240;1127
288;Sportage;86293;1313
289;Taurus;68242;1423
290;Camaro;185405;2836
291;S10;101622;1322
